country,year,n_players,age_mean,age_std,value_mean,value_std
Algeria,2022,39,26.82,4.01,5271794.87,8934396.19
Algeria,2023,39,25.82,3.4,4360256.41,8054751.98
Algeria,2024,39,27.18,4.3,5592763.16,8062745.12
Algeria,2025,38,26.37,3.74,2577941.18,6201010.25
Algeria,2026,26,26.5,3.52,9880769.23,11767843.06
Argentina,2022,36,26.61,3.95,18885714.29,13120913.36
Argentina,2023,35,26.63,4.39,24177142.86,18079618.92
Argentina,2024,33,26.03,5.32,21604545.45,19802656.55
Argentina,2025,35,26.23,4.33,19398529.41,19975427.87
Argentina,2026,26,28.69,4.29,31057692.31,29247066.56
Australia,2022,39,26.59,4.55,1270394.74,1507785.23
Australia,2023,34,26.59,3.8,1638970.59,1832279.91
Australia,2024,36,26.25,3.83,1424285.71,1872407.6
Australia,2025,36,25.86,4.3,1238571.43,1532741.97
Australia,2026,26,26.88,4.87,2978846.15,3656032.24
Austria,2022,37,26.97,3.78,9122857.14,9774605.16
Austria,2023,39,25.26,4.16,8971052.63,10548157.93
Austria,2024,38,27.39,3.54,6571052.63,6418144.83
Austria,2025,38,26.42,3.91,7405263.16,7328241.96
Austria,2026,23,27.87,3.62,9930434.78,8909127.45
Belgium,2022,39,27.95,4.38,14484210.53,14562452.19
Belgium,2023,38,24.58,4.61,17192105.26,17658282.41
Belgium,2024,39,26.05,4.75,15520512.82,12641936.31
Belgium,2025,35,25.49,4.91,17514285.71,15945212.32
Belgium,2026,26,27.15,4.96,21057692.31,15504891.86
Bosnia and Herzegovina,2022,34,27.56,3.59,3667647.06,4583568.52
Bosnia and Herzegovina,2023,41,28.34,3.78,3365853.66,5719217.06
Bosnia and Herzegovina,2024,39,26.9,4.34,3343589.74,4487677.99
Bosnia and Herzegovina,2025,38,25.16,4.47,3268055.56,5052023.15
Bosnia and Herzegovina,2026,26,26.04,4.84,5630769.23,6967991.06
Brazil,2022,36,26.94,4.36,30242857.14,25369095.77
Brazil,2023,37,24.7,3.79,26521621.62,25985381.91
Brazil,2024,35,26.29,3.7,24100000.0,22686845.11
Brazil,2025,37,27.0,3.68,21710810.81,18927368.77
Brazil,2026,26,28.85,4.61,35700000.0,32057640.39
Canada,2022,40,25.02,4.42,4973717.95,13205320.11
Canada,2023,38,25.39,4.48,5323571.43,13330897.17
Canada,2024,39,24.38,3.48,5783108.11,13522066.62
Canada,2025,37,24.86,3.49,5573611.11,10591246.95
Canada,2026,26,26.54,3.34,7640384.62,9660924.66
Cape Verde,2022,44,26.48,4.2,762837.84,1299124.21
Cape Verde,2023,43,26.67,4.0,897857.14,1170277.31
Cape Verde,2024,43,28.07,4.07,1327564.1,2933563.48
Cape Verde,2025,39,26.18,4.51,1246527.78,2503831.46
Cape Verde,2026,25,29.32,4.81,2170000.0,3457050.77
Colombia,2022,39,27.26,3.51,5315384.62,6685567.63
Colombia,2023,38,25.05,4.04,4536805.56,6037157.76
Colombia,2024,39,26.62,3.83,7905128.21,11942575.18
Colombia,2025,38,27.32,3.87,10014473.68,14806092.75
Colombia,2026,26,29.62,3.79,11628846.15,14336144.3
Croatia,2022,33,26.18,4.0,11381818.18,10516983.51
Croatia,2023,35,25.89,4.25,12635714.29,13970620.05
Croatia,2024,33,26.61,4.35,11324242.42,14363801.94
Croatia,2025,34,26.29,4.5,10882352.94,13128560.48
Croatia,2026,26,27.92,4.75,14896153.85,17869279.2
Curaçao,2022,44,27.39,5.02,557142.86,1019895.62
Curaçao,2023,40,27.28,4.27,479032.26,633827.87
Curaçao,2024,33,25.76,4.71,741071.43,974798.84
Curaçao,2025,35,25.57,4.56,1075781.25,1416497.17
Curaçao,2026,26,27.54,3.95,991346.15,1069820.76
Czech Republic,2022,34,27.97,2.83,4161029.41,6969996.6
Czech Republic,2023,38,25.89,3.5,4229605.26,7344206.13
Czech Republic,2024,40,26.58,3.29,5272500.0,5233019.56
Czech Republic,2025,40,25.38,3.2,5451875.0,5582053.8
Czech Republic,2026,26,27.23,3.96,7237500.0,6054890.15
DR Congo,2022,41,26.29,2.47,2511206.9,3355185.04
DR Congo,2023,39,26.44,3.53,2261000.0,3388997.49
DR Congo,2024,37,25.92,3.27,3641176.47,5018677.92
DR Congo,2025,41,25.61,4.18,3821000.0,4909366.97
DR Congo,2026,26,28.54,3.57,5534615.38,8229131.76
Ecuador,2022,35,24.0,4.76,2385714.29,3242454.35
Ecuador,2023,39,24.38,4.67,4346052.63,7438417.18
Ecuador,2024,38,24.45,4.92,6852631.58,15947318.48
Ecuador,2025,33,23.67,4.32,7854687.5,16110790.05
Ecuador,2026,26,25.65,4.33,14180769.23,24510406.26
Egypt,2022,40,26.98,3.64,1478205.13,2045940.16
Egypt,2023,36,26.89,3.84,3959722.22,13063189.48
Egypt,2024,40,27.5,3.82,2920000.0,10072765.26
Egypt,2025,35,27.91,3.55,966176.47,935628.18
Egypt,2026,26,28.69,4.35,4479807.69,9968865.04
England,2022,38,26.61,3.51,43148648.65,30078470.54
England,2023,38,25.84,3.9,40391891.89,28909723.22
England,2024,35,26.34,4.57,40442857.14,38121004.98
England,2025,38,24.89,3.94,48597222.22,42835411.66
England,2026,26,26.77,4.02,52238461.54,33692136.46
France,2022,37,26.49,3.91,42277777.78,32929732.52
France,2023,32,24.5,3.81,41375000.0,33149047.87
France,2024,35,25.77,3.83,45714285.71,32841238.39
France,2025,36,25.5,3.62,43291666.67,28826679.15
France,2026,26,26.58,3.7,58576923.08,43627067.35
Germany,2022,36,27.31,3.86,26888888.89,22332124.07
Germany,2023,35,26.69,3.69,25491428.57,24996278.25
Germany,2024,36,27.17,4.51,25833333.33,26399179.28
Germany,2025,37,25.62,4.3,25986486.49,30095902.23
Germany,2026,26,27.69,4.7,36423076.92,27245215.64
Ghana,2022,40,24.2,3.51,4960625.0,8007570.42
Ghana,2023,41,24.44,3.25,2889743.59,6518112.63
Ghana,2024,41,25.98,3.35,3496250.0,4006333.07
Ghana,2025,40,23.95,3.81,7054487.18,9645725.89
Ghana,2026,26,26.5,3.92,9013461.54,15189872.37
Haiti,2022,28,25.04,4.44,289772.73,222799.73
Haiti,2023,36,27.36,4.04,488636.36,649477.96
Haiti,2024,32,25.31,3.98,681481.48,853901.52
Haiti,2025,40,24.82,4.55,1339393.94,3141824.59
Haiti,2026,26,27.0,4.06,2150000.0,4383990.76
Iran,2022,38,26.74,3.7,765789.47,598556.96
Iran,2023,38,29.13,3.43,994736.84,829377.5
Iran,2024,37,26.76,4.22,975000.0,806812.21
Iran,2025,39,27.34,3.92,894736.84,783089.32
Iran,2026,26,29.85,4.16,1232692.31,913040.39
Iraq,2022,40,26.45,3.77,404032.26,259271.37
Iraq,2023,40,26.4,3.51,440909.09,264633.69
Iraq,2024,37,26.62,3.96,525694.44,683548.9
Iraq,2025,39,25.64,3.83,411842.11,241414.2
Iraq,2026,26,26.46,3.7,815384.62,706973.4
Ivory Coast,2022,38,26.03,4.56,9148571.43,11317637.85
Ivory Coast,2023,35,25.89,4.9,10302380.95,12055906.24
Ivory Coast,2024,36,26.08,4.37,9739285.71,10784448.6
Ivory Coast,2025,37,25.27,4.55,8950000.0,10362707.86
Ivory Coast,2026,26,25.38,3.74,20080769.23,19199199.09
Japan,2022,39,26.26,4.12,2947435.9,5334153.97
Japan,2023,39,25.95,2.81,9033333.33,12105759.03
Japan,2024,39,25.18,3.3,8880263.16,13162219.36
