country,slug,team_id
United States,united-states,3505
France,france,3377
England,england,3299
Spain,spain,3375
Portugal,portugal,3300
Germany,germany,3262
Brazil,brazil,3439
Argentina,argentina,3437
Netherlands,netherlands,3379
Norway,norway,3440
Belgium,belgium,3382
Ivory Coast,ivory-coast,3591
Senegal,senegal,3499
Turkey,turkey,3381
Morocco,morocco,3575
Sweden,sweden,3557
Croatia,croatia,3556
Ecuador,ecuador,5750
Uruguay,uruguay,3449
Switzerland,switzerland,3384
Colombia,colombia,3816
Japan,japan,3435
Algeria,algeria,3614
Austria,austria,3383
Ghana,ghana,3441
Canada,canada,3510
Mexico,mexico,6303
Czech Republic,czech-republic,3445
Scotland,scotland,3380
Paraguay,paraguay,3581
Bosnia and Herzegovina,bosnia-herzegovina,3446
DR Congo,dr-congo,3854
South Korea,south-korea,3589
Egypt,egypt,3672
Uzbekistan,uzbekistan,3563
Australia,australia,3433
Tunisia,tunisia,3670
Haiti,haiti,14161
Cape Verde,cape-verde,4311
South Africa,south-africa,3806
Saudi Arabia,saudi-arabia,3807
Panama,panama,3577
New Zealand,new-zealand,9171
Iran,iran,3582
Curaçao,curacao,32364
Iraq,iraq,3560
Jordan,jordan,15737
Qatar,qatar,14162
